=== SOURCE DATA: COACH_ANALYSIS ===
Table: vertexdemo-481519.conversation_coach.coach_analysis
Query timestamp: 2026-01-07T03:22:41Z

+----------+------------+------------+--------------------+
| agent_id |    date    | call_count |    avg_overall     |
+----------+------------+------------+--------------------+
| A1029    | 2026-01-01 |          1 |               7.05 |
| A1029    | 2026-01-04 |          2 |                8.2 |
| A1029    | 2026-01-06 |          2 |                8.8 |
| A1045    | 2026-01-01 |          1 |                7.8 |
| A1045    | 2026-01-04 |          2 |                8.9 |
| A1045    | 2026-01-06 |          2 |              9.525 |
| A2033    | 2026-01-04 |          3 |  7.066666666666666 |
| A2044    | 2026-01-01 |          1 |               9.15 |
| A2044    | 2026-01-04 |          2 |                9.9 |
| A3099    | 2026-01-01 |          1 |               8.35 |
| A3099    | 2026-01-04 |          2 |               9.55 |
| A3099    | 2026-01-06 |          1 |                9.4 |
| A4021    | 2026-01-01 |          1 |               8.95 |
| A4021    | 2026-01-04 |          2 |  9.600000000000001 |
| A4021    | 2026-01-06 |          2 |  9.600000000000001 |
| L5512    | 2026-01-01 |          1 |               8.85 |
| L5512    | 2026-01-04 |          2 |                9.5 |
| L5512    | 2026-01-06 |          4 |             9.3125 |
| L5512    | 2026-01-07 |          1 |               9.35 |
| M7741    | 2026-01-01 |          1 |                1.0 |
| M7741    | 2026-01-04 |          6 | 1.0833333333333335 |
| M7741    | 2026-01-06 |          1 |                1.0 |
| M7741    | 2026-01-07 |          1 |                1.2 |
| S2298    | 2026-01-01 |          1 |                9.9 |
| S2298    | 2026-01-04 |          3 |  9.733333333333334 |
+----------+------------+------------+--------------------+
